,EVENT MARKER,FLD TIME(sec.),RATIO_OF_MEANS_RG_corrected.1.1,RATIO_OF_MEANS_RG_corrected.1.2,RATIO_OF_MEANS_RG_corrected.1.3,RATIO_OF_MEANS_RG_corrected.1.4,RATIO_OF_MEANS_RG_corrected.1.5,RATIO_OF_MEANS_RG_corrected.1.6,RATIO_OF_MEANS_RG_corrected.1.7,RATIO_OF_MEANS_RG_corrected.1.8,RATIO_OF_MEANS_RG_corrected.1.9,RATIO_OF_MEANS_RG_corrected.1.10,RATIO_OF_MEANS_RG_corrected.1.11,RATIO_OF_MEANS_RG_corrected.1.12,RATIO_OF_MEANS_RG_corrected.1.13,RATIO_OF_MEANS_RG_corrected.1.14,RATIO_OF_MEANS_RG_corrected.1.15,RATIO_OF_MEANS_RG_corrected.1.16,RATIO_OF_MEANS_RG_corrected.1.17,RATIO_OF_MEANS_RG_corrected.1.18,RATIO_OF_MEANS_RG_corrected.1.19
937,,936.480896,0.379062,0.343835,1.108935,0.361535,0.435562,0.470464,0.412625,0.515691,0.484533,0.392146,0.44707,0.401702,0.386823,0.399781,0.474114,0.346636,0.469427,0.390094,4.094488
938,,937.48645,0.381671,0.348273,1.159074,0.364024,0.438439,0.476808,0.416996,0.518642,0.487562,0.396189,0.455589,0.405579,0.389611,0.402626,0.476609,0.351265,0.476158,0.393178,3.930722
939,,938.477844,0.380426,0.347124,1.149616,0.36238,0.436679,0.472069,0.415942,0.497679,0.486173,0.393474,0.449176,0.403446,0.386469,0.39991,0.474263,0.350071,0.473023,0.391414,3.855305
940,,939.485168,0.377275,0.341521,1.140455,0.362626,0.434434,0.471232,0.413604,0.499812,0.48468,0.39231,0.448996,0.403188,0.385176,0.400287,0.468278,0.34989,0.469071,0.391247,3.836707
941,,940.477295,0.377705,0.340374,1.096657,0.363301,0.433446,0.46808,0.412181,0.48629,0.482487,0.39119,0.443189,0.401953,0.384758,0.397072,0.468957,0.346086,0.468753,0.387483,3.807805
942,,941.483948,0.378953,0.340752,1.1204,0.363065,0.432235,0.468067,0.41022,0.496003,0.482186,0.392426,0.473934,0.403517,0.387074,0.398725,0.476982,0.348201,0.467713,0.387204,3.865805
943,,942.475342,0.380739,0.339093,1.144517,0.363814,0.434715,0.471522,0.413001,0.499416,0.481309,0.393866,0.482295,0.401491,0.385812,0.399036,0.518945,0.349349,0.467922,0.391875,3.998026
944,,943.482605,0.376897,0.336961,1.176975,0.365142,0.434193,0.466817,0.409123,0.517278,0.480735,0.392332,0.476668,0.402664,0.38778,0.398492,0.514578,0.347953,0.467948,0.388078,3.982401
945,,944.489929,0.370835,0.331412,1.085387,0.360308,0.428753,0.460417,0.40286,0.483683,0.472474,0.385611,0.465563,0.393393,0.379611,0.394043,0.498565,0.343753,0.462854,0.382889,3.899498
946,,945.48114,0.376331,0.333008,1.119986,0.361659,0.429069,0.46188,0.406203,0.507918,0.482568,0.388126,0.465191,0.395651,0.383058,0.395791,0.499237,0.343163,0.464774,0.385013,3.886706
947,,946.488892,0.380183,0.337991,1.123013,0.365378,0.432895,0.46946,0.409634,0.484657,0.487343,0.392315,0.467575,0.401062,0.385906,0.398993,0.503686,0.346729,0.465815,0.389201,3.985526
948,,947.479919,0.37959,0.334598,1.111218,0.365199,0.436693,0.471034,0.411488,0.498624,0.48786,0.388779,0.466116,0.400985,0.386839,0.401009,0.493261,0.347829,0.472058,0.388399,3.733777
949,,948.487122,0.377644,0.33128,1.101496,0.362152,0.430676,0.467622,0.407601,0.492571,0.48098,0.385564,0.461689,0.397544,0.381796,0.396338,0.488239,0.346553,0.464462,0.389302,3.666207
950,,949.478577,0.373654,0.32633,1.071215,0.361819,0.428191,0.458392,0.402292,0.483635,0.47455,0.383224,0.455387,0.394727,0.381889,0.393782,0.482099,0.342881,0.460303,0.3808,3.741884
951,,950.486145,0.376456,0.32489,1.095814,0.361578,0.427507,0.462168,0.40328,0.48892,0.474745,0.383375,0.455107,0.396645,0.380527,0.395592,0.47896,0.343814,0.461079,0.382586,3.664819
952,,951.478882,0.37816,0.328841,1.099968,0.362462,0.429632,0.461779,0.405404,0.472964,0.480443,0.384768,0.458868,0.396063,0.382692,0.397059,0.47971,0.346702,0.461576,0.383165,3.670213
953,,952.484924,0.377792,0.326124,1.133242,0.363087,0.428844,0.460789,0.405874,0.48907,0.478155,0.384808,0.453198,0.395989,0.383006,0.39802,0.477571,0.345361,0.460822,0.384708,3.845404
954,,953.49231,0.38123,0.332212,1.082433,0.366058,0.433225,0.470619,0.408438,0.491137,0.48437,0.385524,0.458129,0.401805,0.384842,0.401555,0.491965,0.347597,0.465466,0.385036,3.898924
955,,954.484741,0.375586,0.328868,1.079769,0.361115,0.431443,0.466384,0.400787,0.490594,0.477647,0.382444,0.454335,0.396808,0.38366,0.397892,0.481825,0.347662,0.461212,0.38498,3.496599
956,,955.490906,0.376711,0.326881,1.102589,0.363406,0.43008,0.465869,0.404923,0.498325,0.479249,0.379683,0.456342,0.401421,0.382218,0.397854,0.488482,0.345142,0.463142,0.385336,3.821015
957,,956.483765,0.381262,0.330978,1.109257,0.366165,0.434273,0.470659,0.412006,0.508427,0.48258,0.387731,0.455533,0.405578,0.389774,0.402926,0.492451,0.349043,0.468986,0.387342,3.828973
958,,957.491516,0.381291,0.328856,1.116758,0.366505,0.434944,0.477004,0.410273,0.517505,0.486382,0.3881,0.458251,0.40293,0.388836,0.402907,0.491182,0.350224,0.470603,0.38909,3.775769
959,,958.481262,0.379555,0.327257,1.121156,0.363605,0.430993,0.475743,0.404603,0.497143,0.483241,0.384569,0.453511,0.401005,0.386704,0.399087,0.488056,0.349191,0.465389,0.384898,3.863711
960,,959.488403,0.380514,0.332008,1.176154,0.369081,0.44066,0.484101,0.414596,0.504042,0.487311,0.389935,0.45926,0.405427,0.39171,0.407853,0.492798,0.35379,0.471473,0.390383,4.050723
961,,960.495728,0.376431,0.326717,1.074811,0.365032,0.432883,0.475853,0.405623,0.500852,0.483388,0.38259,0.45183,0.400945,0.386317,0.404948,0.482343,0.348186,0.468025,0.383427,3.804273
962,,961.487366,0.379571,0.331119,1.094056,0.371057,0.438102,0.481262,0.411578,0.47616,0.486787,0.386518,0.462229,0.405437,0.391449,0.406198,0.487608,0.352826,0.468539,0.391314,3.937133
963,,962.494568,0.377459,0.326291,1.110557,0.367794,0.433781,0.475926,0.408528,0.481976,0.479659,0.383475,0.47864,0.400021,0.386579,0.39895,0.489093,0.347077,0.470353,0.385098,3.820827
964,,963.486145,0.381234,0.325713,1.121361,0.369035,0.43511,0.480262,0.410205,0.504389,0.485134,0.387163,0.478973,0.406184,0.388256,0.402957,0.492321,0.350351,0.469972,0.388059,3.658957
965,,964.493652,0.381241,0.326113,1.085186,0.367969,0.433073,0.481071,0.414174,0.50988,0.484722,0.389004,0.477164,0.401059,0.390159,0.403413,0.49147,0.353272,0.467516,0.387217,3.675529
966,,965.484741,0.379171,0.325966,1.109932,0.368177,0.435755,0.480478,0.412996,0.500404,0.482803,0.38871,0.472445,0.403319,0.38942,0.404279,0.489371,0.352812,0.469204,0.389085,3.868265
967,,966.492249,0.38048,0.324741,1.121229,0.369774,0.435847,0.482814,0.411107,0.492929,0.485939,0.385958,0.471777,0.403677,0.392864,0.405594,0.488399,0.350491,0.470979,0.389823,3.938062
968,,967.500488,0.379803,0.321979,1.103226,0.367143,0.432123,0.471663,0.410515,0.496232,0.481481,0.383361,0.4687,0.400539,0.387869,0.40484,0.481333,0.350837,0.468872,0.388506,3.587452
969,,968.493042,0.377128,0.322593,1.108041,0.365297,0.433319,0.477134,0.408844,0.494313,0.481409,0.38158,0.46768,0.400381,0.387295,0.40438,0.481412,0.350662,0.46582,0.386472,3.76826
970,,969.498657,0.378248,0.32209,1.113859,0.365535,0.430187,0.475372,0.409356,0.488775,0.476735,0.380472,0.463646,0.400635,0.388296,0.40192,0.499418,0.350309,0.465375,0.387598,3.930367
971,,970.489868,0.379096,0.322583,1.093759,0.368135,0.433666,0.476429,0.407992,0.502405,0.481073,0.381673,0.469399,0.400536,0.388816,0.405042,0.501362,0.350424,0.466574,0.38512,3.738289
972,,971.497314,0.381579,0.325167,1.136229,0.372205,0.438213,0.48335,0.412549,0.515618,0.487661,0.386922,0.473577,0.405986,0.392437,0.408104,0.519259,0.355704,0.472265,0.391095,4.06545
973,,972.490479,0.374085,0.317341,1.164946,0.364269,0.425818,0.472343,0.404574,0.517103,0.475384,0.377107,0.460623,0.397332,0.383481,0.400341,0.506953,0.347796,0.464057,0.38282,3.966376
974,,973.496094,0.376736,0.318768,1.071451,0.366157,0.431435,0.47529,0.4081,0.491375,0.478236,0.379298,0.466272,0.400528,0.385203,0.40146,0.505218,0.349532,0.467633,0.385408,3.802566
975,,974.487488,0.38123,0.321321,1.139862,0.370757,0.435047,0.477603,0.409166,0.50228,0.481991,0.38315,0.46746,0.402848,0.390956,0.405492,0.505037,0.354085,0.470822,0.388333,3.858496
976,,975.494751,0.38172,0.318055,1.145013,0.371878,0.436291,0.474334,0.407626,0.513148,0.480836,0.383372,0.464404,0.397526,0.386191,0.401917,0.502292,0.352911,0.471183,0.387983,4.204628
977,,976.503967,0.381946,0.320782,1.139654,0.374164,0.437307,0.479271,0.410276,0.495384,0.48326,0.385323,0.469063,0.402095,0.390831,0.405858,0.501286,0.35798,0.470176,0.388825,3.93082
978,,977.493408,0.385965,0.320103,1.167236,0.377376,0.436321,0.476872,0.411525,0.52091,0.485738,0.384435,0.470737,0.404889,0.391028,0.406472,0.503033,0.358947,0.47229,0.388724,4.004992
979,,978.500793,0.382603,0.318626,1.069051,0.374535,0.437568,0.475465,0.412523,0.506252,0.484532,0.385537,0.468595,0.403574,0.390575,0.406722,0.509993,0.357729,0.474962,0.389105,3.962416
980,,979.492126,0.38252,0.316912,1.085908,0.373085,0.431295,0.472761,0.405714,0.491719,0.479513,0.381299,0.4667,0.39922,0.386383,0.403251,0.50841,0.351985,0.467622,0.3847,3.76483
981,,980.499329,0.379149,0.316775,1.115539,0.371109,0.429084,0.47786,0.406519,0.51429,0.478344,0.376929,0.463035,0.401184,0.387375,0.400776,0.503656,0.352864,0.467331,0.384673,3.741896
982,,981.506592,0.382926,0.320652,1.139012,0.373476,0.433128,0.477913,0.413106,0.513453,0.478746,0.381243,0.461057,0.399906,0.386933,0.403687,0.508483,0.353624,0.46805,0.38671,3.810871
983,,982.498108,0.379043,0.317213,1.098397,0.371674,0.429402,0.474483,0.400975,0.488366,0.477627,0.37994,0.455898,0.395494,0.382198,0.39841,0.50849,0.350693,0.466653,0.381614,3.718594
984,,983.505676,0.391001,0.328244,1.153592,0.381578,0.441185,0.485843,0.414293,0.516576,0.487835,0.387324,0.468981,0.406729,0.394039,0.412284,0.516401,0.360026,0.480671,0.394896,4.320971
985,,984.496826,0.387427,0.328403,1.161774,0.377497,0.43718,0.483916,0.411773,0.518722,0.484365,0.38814,0.467112,0.403189,0.390377,0.408489,0.516813,0.356968,0.476536,0.390615,4.047234
986,,985.504089,0.383822,0.325717,1.122136,0.37493,0.434317,0.479847,0.408289,0.480929,0.480629,0.383648,0.462068,0.400247,0.387537,0.404702,0.515568,0.354719,0.471985,0.386432,3.88903
987,,986.495422,0.378791,0.324291,1.110557,0.368751,0.428763,0.473555,0.403893,0.479333,0.472869,0.37978,0.457169,0.394397,0.382537,0.402767,0.50791,0.349693,0.461538,0.383134,3.688713
988,,987.502808,0.375212,0.323349,1.072583,0.371829,0.426764,0.473627,0.399928,0.48356,0.474001,0.378712,0.453787,0.393591,0.380901,0.39977,0.502016,0.34727,0.460412,0.379328,3.685179
989,,988.494324,0.383098,0.32867,1.156029,0.373589,0.433073,0.481918,0.4074,0.518264,0.482001,0.385259,0.461285,0.401174,0.388435,0.406622,0.540278,0.352719,0.470706,0.385013,3.936684
990,,989.501648,0.380784,0.326447,1.09189,0.37014,0.432094,0.475973,0.404819,0.500836,0.478261,0.381485,0.455395,0.395209,0.386623,0.401588,0.555057,0.349218,0.464361,0.383002,3.934191
991,,990.509094,0.381841,0.328428,1.062803,0.371546,0.432794,0.479038,0.405025,0.487318,0.479162,0.382752,0.456046,0.396194,0.384754,0.403358,0.549413,0.352934,0.467337,0.382528,3.622035
992,,991.50061,0.385079,0.329354,1.10155,0.374389,0.438272,0.479023,0.408729,0.503632,0.485528,0.384818,0.459064,0.403846,0.388782,0.407256,0.557921,0.35337,0.473166,0.386356,3.737196
993,,992.507996,0.381306,0.32595,1.123043,0.371143,0.433275,0.477831,0.40476,0.504954,0.478691,0.381332,0.453103,0.39883,0.381835,0.403789,0.569225,0.350304,0.464548,0.380066,3.824175
994,,993.499084,0.383194,0.32647,1.136418,0.369693,0.434703,0.478521,0.402151,0.517622,0.475402,0.382934,0.455883,0.396666,0.383107,0.404208,0.593164,0.349773,0.465423,0.382509,3.966314
995,,994.506653,0.383324,0.323932,1.077104,0.370036,0.431791,0.472025,0.404673,0.501361,0.474971,0.382618,0.45374,0.393991,0.383299,0.403282,0.584054,0.349058,0.464829,0.379421,3.778953
996,,995.499329,0.387876,0.325168,1.123017,0.374837,0.439105,0.480104,0.40854,0.509093,0.480984,0.388127,0.456143,0.39766,0.387278,0.407734,0.583625,0.354221,0.468083,0.386604,3.851981
997,,996.505737,0.388479,0.325764,1.067817,0.375295,0.438264,0.479318,0.409234,0.509039,0.481164,0.387959,0.456364,0.396326,0.386874,0.409249,0.575546,0.354874,0.472055,0.381626,3.937915
998,,997.496704,0.389565,0.328566,1.147919,0.376565,0.44145,0.483467,0.412171,0.493631,0.485368,0.388126,0.461486,0.398679,0.387811,0.410592,0.573719,0.356866,0.472074,0.384174,3.683178
999,,998.504272,0.389585,0.327287,1.195709,0.381219,0.445672,0.488599,0.416201,0.515423,0.488464,0.393251,0.462819,0.404695,0.393104,0.411702,0.600559,0.356211,0.477537,0.386352,4.121152
1000,,999.511719,0.383264,0.322516,1.135631,0.376694,0.435515,0.474251,0.405968,0.512538,0.479349,0.383903,0.455378,0.394036,0.385317,0.406955,0.580731,0.350582,0.467369,0.380237,3.739086
1001,,1000.502991,0.382075,0.321519,1.085886,0.375666,0.43884,0.474257,0.406576,0.493623,0.476946,0.38132,0.45306,0.389967,0.382183,0.406099,0.60414,0.352169,0.46547,0.37732,3.719165
1002,,1001.510437,0.388229,0.32512,1.137737,0.384215,0.447786,0.484772,0.417095,0.516573,0.484131,0.388383,0.460525,0.395975,0.391074,0.410355,0.603108,0.358812,0.473477,0.383721,4.056947
1003,,1002.50177,0.393179,0.328144,1.105929,0.382862,0.449481,0.485024,0.416914,0.500017,0.486975,0.388722,0.462259,0.397117,0.389454,0.416894,0.632183,0.357563,0.478571,0.385832,3.819992
1004,,1003.509094,0.390667,0.326993,1.13479,0.384162,0.450067,0.482754,0.416319,0.525006,0.48716,0.388289,0.461783,0.396457,0.389275,0.417433,0.642998,0.358521,0.476169,0.387299,3.80508
1005,,1004.500488,0.387263,0.324693,1.117818,0.410596,0.450099,0.479633,0.41243,0.520988,0.484015,0.38568,0.456145,0.394913,0.38921,0.412344,0.636892,0.356763,0.471293,0.384219,3.94001
1006,,1005.509155,0.387434,0.323679,1.138006,0.404095,0.444895,0.478991,0.410046,0.511271,0.482189,0.380825,0.457558,0.389832,0.386085,0.410392,0.638963,0.352497,0.46662,0.381848,4.069436
1007,,1006.515564,0.386334,0.326366,1.129304,0.407592,0.451535,0.480107,0.413955,0.510299,0.485931,0.38526,0.457955,0.393147,0.389104,0.415428,0.634406,0.357556,0.466231,0.38141,3.843287
1008,,1007.506897,0.379779,0.322281,1.099127,0.397797,0.446055,0.475569,0.40785,0.516241,0.475475,0.377391,0.450706,0.391411,0.383533,0.407498,0.618007,0.350771,0.461315,0.376466,3.804993
1009,,1008.514099,0.38251,0.326501,1.160555,0.399796,0.451477,0.479501,0.410215,0.51411,0.482209,0.379522,0.45576,0.391089,0.384536,0.4135,0.630102,0.352302,0.462986,0.379654,3.833334
1010,,1009.505676,0.38197,0.321967,1.132644,0.395569,0.448458,0.474838,0.408846,0.496326,0.479622,0.37855,0.451361,0.391092,0.38479,0.412756,0.62007,0.353208,0.465743,0.37543,3.770669
1011,,1010.513184,0.377547,0.318951,1.120504,0.393642,0.447929,0.471877,0.404184,0.490826,0.475653,0.378559,0.447305,0.386892,0.380726,0.41153,0.629995,0.347766,0.460628,0.376273,3.845338
1012,,1011.504517,0.385269,0.325733,1.124966,0.400466,0.460495,0.483634,0.413132,0.509028,0.485476,0.386995,0.459501,0.397229,0.384756,0.418808,0.633348,0.355462,0.468755,0.38124,3.799399
1013,,1012.511902,0.382288,0.322785,1.093216,0.394211,0.456401,0.472701,0.407455,0.514469,0.480082,0.381037,0.452535,0.391056,0.381948,0.416067,0.632044,0.351249,0.464699,0.376501,3.694742
1014,,1013.519775,0.387513,0.328134,1.158345,0.39765,0.463247,0.477354,0.411191,0.506327,0.485562,0.383075,0.458481,0.393698,0.38731,0.42044,0.648786,0.357807,0.472582,0.382442,4.10292
1015,,1014.510681,0.385246,0.327168,1.111755,0.397563,0.463442,0.480487,0.412264,0.511096,0.483429,0.381446,0.4624,0.394477,0.384563,0.417919,0.637833,0.358174,0.472083,0.377343,3.953699
1016,,1015.517944,0.38682,0.326785,1.10693,0.395654,0.463615,0.477094,0.410236,0.503645,0.481591,0.38096,0.45925,0.391725,0.382795,0.420036,0.630006,0.356157,0.466964,0.376283,3.809158
1017,,1016.509399,0.386191,0.323895,1.087417,0.394034,0.463017,0.473287,0.409293,0.502087,0.478241,0.377302,0.456939,0.391716,0.380097,0.413845,0.620155,0.351622,0.468915,0.374638,3.677649
1018,,1017.516724,0.390464,0.329685,1.164514,0.399127,0.467537,0.481036,0.412891,0.503277,0.483988,0.38269,0.461549,0.394475,0.383531,0.416826,0.629856,0.356458,0.473077,0.38105,3.922718
1019,,1018.507996,0.390723,0.327229,1.107165,0.399143,0.467229,0.475479,0.410455,0.477062,0.479485,0.38054,0.458107,0.391179,0.381846,0.420303,0.620683,0.355546,0.469319,0.377907,3.778652
1020,,1019.515503,0.391665,0.32707,1.118367,0.39768,0.47167,0.475363,0.414786,0.506157,0.480576,0.380514,0.461695,0.392889,0.386948,0.420573,0.618254,0.361436,0.468752,0.378958,3.742972
1021,,1020.506714,0.388949,0.325272,1.133408,0.396541,0.471325,0.473103,0.411615,0.518483,0.48105,0.37998,0.464042,0.3944,0.385307,0.41902,0.616994,0.357738,0.467806,0.37863,3.919785
1022,,1021.51416,0.392541,0.327459,1.106933,0.425684,0.47457,0.483689,0.414551,0.50104,0.486026,0.380451,0.473321,0.395185,0.386807,0.4236,0.666949,0.36138,0.472759,0.382288,3.711415
1023,,1022.521606,0.395584,0.332326,1.175021,0.428738,0.483225,0.487741,0.417912,0.505778,0.488629,0.383695,0.47524,0.40104,0.391153,0.428249,0.65519,0.364397,0.47701,0.387082,3.986485
1024,,1023.512817,0.395067,0.332565,1.146867,0.421069,0.477892,0.484392,0.415761,0.498395,0.485586,0.382141,0.479194,0.398627,0.387953,0.425896,0.634704,0.367122,0.472971,0.381986,3.96654
1025,,1024.520386,0.394395,0.333597,1.16613,0.417912,0.482494,0.483453,0.415312,0.518652,0.483126,0.382462,0.481523,0.393086,0.388352,0.428451,0.633779,0.363533,0.471822,0.386834,3.905259
1026,,1025.511963,0.391958,0.328998,1.128716,0.43139,0.480222,0.477514,0.412336,0.519372,0.479587,0.377073,0.474709,0.392899,0.383584,0.423343,0.619796,0.356442,0.464652,0.382154,3.69676
1027,,1026.519287,0.386718,0.32568,1.081466,0.425823,0.477125,0.478734,0.405212,0.48494,0.475104,0.373991,0.469645,0.391386,0.380718,0.421253,0.617787,0.35787,0.462986,0.377791,3.763147
1028,,1027.526367,0.388038,0.327597,1.130932,0.423737,0.479313,0.47817,0.410556,0.511901,0.481091,0.372786,0.475439,0.39196,0.382519,0.422685,0.640758,0.358113,0.464872,0.378321,3.815777
1029,,1028.518921,0.388428,0.330618,1.096892,0.425374,0.484349,0.480269,0.414789,0.515447,0.483005,0.377376,0.512344,0.394144,0.385044,0.422196,0.631948,0.361362,0.465591,0.37934,3.985981
1030,,1029.525513,0.384482,0.32974,1.112279,0.421734,0.480543,0.476253,0.410684,0.498564,0.47798,0.372791,0.502212,0.389046,0.38317,0.420758,0.653377,0.361832,0.461146,0.378432,3.727575
1031,,1030.516724,0.394051,0.339175,1.127379,0.447002,0.496693,0.488027,0.421008,0.511996,0.489688,0.380506,0.512588,0.399061,0.391536,0.429974,0.659944,0.371871,0.473569,0.389691,3.784493
1032,,1031.524536,0.386611,0.333372,1.049666,0.437725,0.493545,0.482727,0.413265,0.514032,0.483274,0.3777,0.503045,0.395061,0.385049,0.425026,0.654517,0.366781,0.4635,0.382185,3.656043
1033,,1032.515747,0.391424,0.340495,1.172806,0.437975,0.502216,0.488701,0.419755,0.527192,0.488975,0.381138,0.508122,0.413325,0.393343,0.437365,0.655383,0.37234,0.471138,0.389534,3.916757
1034,,1033.522827,0.382937,0.333697,1.175374,0.424735,0.496265,0.476709,0.407998,0.519653,0.478969,0.373038,0.497881,0.424976,0.382014,0.428047,0.633376,0.365275,0.460774,0.380001,4.054045
1035,,1034.531616,0.382336,0.333874,1.175697,0.424607,0.500196,0.4739,0.410731,0.514938,0.478948,0.370439,0.494355,0.422717,0.383403,0.425035,0.635403,0.365741,0.457443,0.380796,4.111363
1036,,1035.521973,0.384662,0.336854,1.144253,0.429406,0.506074,0.478429,0.414982,0.50898,0.483268,0.374015,0.504155,0.444791,0.386731,0.4293,0.632399,0.367878,0.461989,0.380938,3.970203
1037,,1036.529175,0.38349,0.337679,1.127641,0.426167,0.50427,0.477131,0.411362,0.508444,0.480591,0.371284,0.501297,0.440578,0.386567,0.432923,0.636191,0.373878,0.465862,0.382087,3.686047
1038,,1037.520508,0.384877,0.3399,1.104535,0.427259,0.508381,0.479633,0.413067,0.524685,0.482871,0.37179,0.497446,0.440367,0.38631,0.433413,0.642462,0.372459,0.465346,0.383547,4.153331
1039,,1038.52771,0.382515,0.334614,1.114929,0.444877,0.511866,0.474483,0.409876,0.502752,0.484021,0.37141,0.493382,0.431411,0.385862,0.432068,0.66043,0.372788,0.461772,0.380349,4.030186
1040,,1039.519287,0.380254,0.333633,1.166288,0.439613,0.511841,0.47975,0.409439,0.519298,0.480049,0.370706,0.493796,0.429503,0.384801,0.436381,0.644447,0.370447,0.465121,0.384091,4.244363
1041,,1040.528198,0.378755,0.336079,1.12007,0.439943,0.514032,0.478928,0.409674,0.510391,0.480073,0.371603,0.488477,0.423988,0.383433,0.438097,0.627004,0.371501,0.462585,0.381386,3.726753
1042,,1041.534058,0.379239,0.333578,1.151605,0.432885,0.514889,0.475,0.410168,0.5297,0.475787,0.371024,0.485583,0.423804,0.382675,0.437769,0.617006,0.369571,0.461002,0.379147,4.072474
1043,,1042.525391,0.384134,0.339241,1.142555,0.434931,0.525582,0.484072,0.417859,0.534849,0.48499,0.374759,0.496656,0.425244,0.389708,0.447629,0.617198,0.373013,0.466176,0.386841,3.96013
1044,,1043.533569,0.385394,0.339742,1.122538,0.432599,0.532567,0.479554,0.417341,0.514443,0.486167,0.375524,0.496304,0.430516,0.387649,0.449147,0.631605,0.374386,0.467711,0.384948,3.852856
1045,,1044.523926,0.386301,0.341042,1.158869,0.43567,0.539713,0.489029,0.42251,0.527281,0.490086,0.380066,0.496152,0.430103,0.392203,0.453036,0.649338,0.37708,0.471979,0.388552,3.983726
1046,,1045.53125,0.380494,0.335541,1.089749,0.425123,0.532093,0.479441,0.412679,0.492752,0.482229,0.371751,0.483385,0.422367,0.385259,0.447024,0.631626,0.373421,0.463128,0.381909,3.90766
1047,,1046.522705,0.378041,0.331114,1.091929,0.439834,0.535183,0.475857,0.406647,0.481117,0.478507,0.369674,0.480755,0.417458,0.380553,0.442698,0.614823,0.370991,0.458217,0.379201,3.814924
1048,,1047.530029,0.377599,0.333499,1.061095,0.437723,0.570054,0.473462,0.411169,0.509935,0.479227,0.368853,0.482176,0.425867,0.38277,0.451711,0.652221,0.374177,0.46045,0.379771,3.762017
1049,,1048.521851,0.38461,0.335717,1.115222,0.439307,0.605947,0.479801,0.415102,0.492984,0.487309,0.377728,0.49171,0.442371,0.390947,0.466226,0.655653,0.381198,0.467947,0.386842,3.871647
1050,,1049.529175,0.383967,0.336817,1.126575,0.437952,0.601632,0.486228,0.419211,0.52213,0.487939,0.375827,0.493071,0.459725,0.392399,0.469268,0.668987,0.387643,0.468341,0.386949,4.127817
1051,,1050.536499,0.386221,0.338642,1.231928,0.440211,0.632575,0.490164,0.420162,0.531231,0.487914,0.380652,0.519911,0.465001,0.395018,0.476995,0.690753,0.392701,0.468928,0.392033,4.142664
1052,,1051.527832,0.38386,0.335278,1.091467,0.435759,0.61714,0.483431,0.417286,0.515201,0.486079,0.378372,0.540314,0.465201,0.38978,0.481298,0.671816,0.390224,0.467736,0.390413,3.697014
1053,,1052.535034,0.384593,0.335465,1.098379,0.432374,0.609772,0.478467,0.412851,0.51169,0.482209,0.375,0.530299,0.45859,0.385737,0.475024,0.653196,0.385988,0.461788,0.384844,3.863722
1054,,1053.526367,0.382263,0.331855,1.164037,0.423611,0.60266,0.474688,0.410317,0.510979,0.478257,0.369656,0.519903,0.462439,0.384702,0.480498,0.641508,0.389092,0.459936,0.381673,3.760326
1055,,1054.533691,0.385026,0.335355,1.127505,0.429065,0.599998,0.477706,0.41527,0.527971,0.481065,0.374827,0.519797,0.471243,0.387404,0.488699,0.640695,0.395898,0.462983,0.385337,4.17842
1056,,1055.525024,0.386863,0.336609,1.157136,0.429419,0.601608,0.485587,0.419108,0.512932,0.487479,0.375917,0.521593,0.477004,0.38936,0.492915,0.640476,0.400774,0.466733,0.388814,3.98058
1057,,1056.532349,0.382485,0.330165,1.162432,0.42686,0.590172,0.482248,0.415015,0.530155,0.481877,0.37506,0.507083,0.465832,0.387873,0.491533,0.625159,0.396814,0.465093,0.384847,3.890831
1058,,1057.523926,0.380753,0.330985,1.12827,0.424001,0.581287,0.475981,0.41082,0.516549,0.47856,0.371827,0.501839,0.462948,0.386024,0.485457,0.617409,0.400081,0.458418,0.381911,3.904974
1059,,1058.531128,0.38059,0.327283,1.134971,0.435824,0.57288,0.473259,0.408422,0.516083,0.476173,0.369408,0.496216,0.451712,0.381538,0.485076,0.603112,0.405525,0.457865,0.381276,4.213735
1060,,1059.538696,0.382299,0.331451,1.10863,0.436918,0.574748,0.476182,0.409077,0.506672,0.47872,0.372258,0.494402,0.451421,0.386715,0.487665,0.620329,0.409739,0.463253,0.384044,3.923801
1061,,1060.530029,0.385745,0.332524,1.117921,0.434991,0.576863,0.47858,0.410415,0.506504,0.480926,0.371526,0.492906,0.448084,0.390229,0.492732,0.642336,0.418687,0.465711,0.385207,3.707544
1062,,1061.537476,0.382525,0.32804,1.146706,0.430874,0.564605,0.479584,0.413692,0.512427,0.475463,0.369047,0.490123,0.441757,0.386483,0.486577,0.649227,0.422308,0.462161,0.383167,4.058107
1063,,1062.529907,0.383921,0.329638,1.123159,0.432976,0.567499,0.477173,0.409279,0.509041,0.475048,0.371578,0.487298,0.446754,0.388178,0.489158,0.639131,0.431109,0.464523,0.385252,3.79958
1064,,1063.536011,0.384463,0.332598,1.146239,0.435548,0.566236,0.478886,0.411851,0.532273,0.481023,0.370667,0.487342,0.447003,0.387614,0.493525,0.633143,0.43317,0.464465,0.385979,3.684729
1065,,1064.527588,0.391094,0.338117,1.141042,0.436877,0.58067,0.484759,0.417461,0.519434,0.485667,0.376743,0.493555,0.463429,0.394268,0.498961,0.63418,0.444536,0.472166,0.387205,4.157222
1066,,1065.535034,0.38615,0.335422,1.131196,0.432599,0.573184,0.479883,0.411282,0.512225,0.482051,0.372169,0.489427,0.459599,0.393199,0.498728,0.621346,0.43858,0.46741,0.38715,3.880358
